CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8,Direction,Output
-70,-55,-70,-88,-79,-84,-65,-88,North,a15
-70,-55,-71,-93,-77,-83,-67,-88,North,a15
-69,-55,-72,-87,-79,-85,-67,-86,North,a15
-70,-55,-71,-88,-85,-90,-66,-89,North,a15
-67,-55,-67,-90,-76,-100,-67,-100,North,a15
-68,-54,-72,-90,-81,-84,-66,-86,North,a15
-68,-54,-71,-88,-78,-86,-66,-91,North,a15
-68,-53,-70,-100,-84,-83,-66,-88,North,a15
-69,-55,-70,-91,-78,-90,-65,-89,North,a15
-69,-55,-69,-91,-75,-83,-65,-89,North,a15
-67,-54,-70,-93,-79,-89,-67,-95,North,a15
-69,-55,-72,-90,-79,-90,-67,-90,North,a15
-70,-55,-72,-93,-83,-86,-66,-90,North,a15
-68,-55,-72,-89,-76,-85,-67,-89,North,a15
-70,-55,-71,-92,-79,-84,-67,-90,North,a15
-68,-54,-72,-90,-78,-84,-66,-100,North,a15
-69,-55,-72,-90,-83,-86,-66,-90,North,a15
-69,-55,-71,-91,-79,-85,-64,-88,North,a15
-67,-56,-74,-90,-78,-90,-68,-100,North,a15
-70,-56,-70,-92,-76,-86,-66,-89,North,a15
-70,-55,-73,-88,-80,-85,-65,-90,North,a15
-69,-55,-71,-90,-82,-85,-65,-89,North,a15
-69,-55,-71,-90,-87,-86,-67,-89,North,a15
-68,-54,-71,-89,-87,-84,-69,-89,North,a15
-74,-54,-73,-88,-78,-83,-66,-88,North,a15
-71,-56,-74,-100,-80,-85,-69,-100,North,a15
-68,-55,-74,-90,-80,-89,-66,-89,North,a15
-66,-54,-72,-91,-79,-90,-66,-100,North,a15
-69,-55,-71,-90,-79,-85,-66,-89,North,a15
-68,-55,-73,-93,-76,-85,-65,-89,North,a15
-68,-56,-72,-90,-78,-90,-66,-92,North,a15
-74,-85,-65,-88,-68,-68,-69,-100,North,c11
-74,-86,-67,-89,-67,-68,-69,-100,North,c11
-74,-84,-68,-88,-65,-68,-70,-100,North,c11
-74,-86,-70,-86,-66,-69,-71,-100,North,c11
-74,-84,-68,-89,-67,-66,-71,-100,North,c11
-75,-84,-67,-89,-67,-66,-69,-91,North,c11
-73,-84,-68,-90,-66,-67,-69,-100,North,c11
-73,-83,-69,-89,-68,-66,-68,-100,North,c11
-74,-83,-67,-89,-65,-67,-69,-100,North,c11
-72,-85,-66,-88,-66,-68,-70,-100,North,c11
-73,-84,-67,-87,-67,-68,-71,-92,North,c11
-74,-83,-66,-87,-65,-67,-70,-94,North,c11
-74,-85,-68,-100,-67,-67,-70,-93,North,c11
-72,-85,-65,-88,-70,-67,-70,-100,North,c11
-70,-85,-65,-91,-69,-68,-66,-92,North,c11
-72,-82,-67,-88,-67,-68,-67,-93,North,c11
-72,-82,-67,-90,-68,-66,-68,-91,North,c11
-73,-84,-68,-91,-68,-67,-71,-89,North,c11
-72,-85,-67,-90,-68,-67,-69,-100,North,c11
-74,-83,-68,-90,-65,-66,-69,-93,North,c11
-73,-84,-67,-88,-67,-67,-69,-90,North,c11
-74,-86,-70,-90,-69,-69,-71,-100,North,c11
-74,-84,-65,-89,-66,-69,-70,-93,North,c11
-74,-85,-68,-90,-69,-68,-70,-90,North,c11
-73,-85,-69,-91,-68,-69,-71,-94,North,c11
-74,-84,-70,-88,-68,-69,-71,-100,North,c11
-74,-84,-69,-90,-67,-69,-70,-100,North,c11
-73,-84,-68,-89,-67,-68,-69,-92,North,c11
-73,-100,-69,-100,-64,-68,-70,-90,North,c11
-73,-84,-68,-100,-65,-67,-70,-100,North,c11
-75,-86,-69,-87,-67,-68,-70,-100,North,c11
-75,-85,-68,-92,-66,-66,-70,-100,North,c11
-74,-86,-69,-100,-67,-68,-70,-100,North,c11
-75,-84,-69,-100,-67,-67,-70,-93,North,c11
-73,-87,-68,-100,-66,-68,-70,-93,North,c11
-74,-85,-67,-94,-67,-68,-71,-94,North,c11
-74,-100,-68,-100,-66,-68,-70,-90,North,c11
-73,-83,-68,-100,-67,-67,-69,-100,North,c11
-100,-87,-68,-88,-67,-68,-71,-94,North,c11
-74,-86,-68,-95,-67,-66,-70,-100,North,c11
-73,-100,-68,-91,-67,-68,-71,-100,North,c11
-73,-84,-67,-91,-67,-68,-72,-95,North,c11
-72,-85,-69,-92,-66,-67,-71,-92,North,c11
-74,-85,-68,-90,-69,-69,-71,-100,North,c11
-72,-83,-68,-88,-70,-69,-70,-100,North,c11
-73,-82,-68,-89,-67,-69,-71,-100,North,c11
-73,-100,-100,-86,-68,-67,-70,-91,North,c11
-73,-84,-68,-89,-68,-69,-73,-91,North,c11
-74,-86,-68,-88,-69,-68,-69,-100,North,c11
-74,-83,-70,-100,-69,-68,-72,-100,North,c11
-75,-90,-75,-89,-65,-73,-71,-100,North,c13
-70,-86,-79,-91,-65,-73,-74,-91,North,c13
-70,-82,-77,-90,-65,-72,-73,-88,North,c13
-70,-82,-74,-90,-64,-72,-72,-90,North,c13
-68,-82,-74,-90,-65,-72,-71,-89,North,c13
-71,-100,-74,-100,-65,-71,-72,-89,North,c13
-71,-82,-76,-90,-64,-72,-71,-89,North,c13
-70,-83,-74,-90,-65,-73,-71,-91,North,c13
-71,-100,-100,-90,-65,-72,-74,-100,North,c13
-70,-84,-76,-88,-65,-72,-76,-89,North,c13
-73,-85,-84,-89,-65,-72,-75,-100,North,c13
-71,-83,-81,-100,-65,-72,-70,-100,North,c13
-71,-81,-79,-100,-63,-71,-74,-90,North,c13
-71,-83,-76,-100,-64,-73,-72,-90,North,c13
-78,-82,-76,-100,-65,-72,-100,-100,North,c13
-70,-100,-78,-92,-64,-72,-74,-90,North,c13
-71,-83,-77,-89,-64,-73,-72,-90,North,c13
-71,-83,-78,-89,-64,-73,-74,-89,North,c13
-70,-83,-78,-90,-64,-73,-73,-91,North,c13
-70,-83,-77,-88,-64,-100,-72,-88,North,c13
-70,-83,-76,-90,-65,-72,-70,-87,North,c13
-71,-82,-77,-100,-65,-72,-70,-86,North,c13
-71,-83,-77,-92,-64,-72,-72,-87,North,c13
-70,-82,-75,-89,-63,-72,-72,-91,North,c13
-72,-84,-79,-93,-66,-73,-73,-91,North,c13
-67,-82,-78,-90,-64,-72,-71,-90,North,c13
-70,-82,-79,-91,-66,-73,-72,-100,North,c13
-71,-100,-79,-93,-68,-72,-72,-92,North,c13
-71,-81,-78,-91,-69,-72,-71,-91,North,c13
-71,-82,-79,-90,-69,-100,-72,-90,North,c13
-72,-82,-78,-100,-69,-74,-71,-90,North,c13
-72,-82,-80,-93,-68,-72,-72,-89,North,c13
-71,-83,-79,-90,-67,-72,-71,-100,North,c13
-72,-83,-78,-90,-67,-73,-68,-91,North,c13
-71,-81,-77,-100,-68,-74,-72,-91,North,c13
-72,-82,-76,-92,-66,-74,-66,-92,North,c13
-75,-83,-79,-88,-67,-73,-72,-91,North,c13
-72,-81,-79,-89,-68,-73,-72,-91,North,c13
-71,-82,-78,-89,-68,-74,-72,-92,North,c13
-72,-81,-77,-100,-68,-73,-71,-92,North,c13
-70,-80,-76,-92,-67,-67,-70,-90,North,c13
-70,-80,-79,-86,-70,-71,-71,-93,North,c13
-71,-81,-75,-87,-70,-67,-72,-91,North,c13
-70,-82,-77,-100,-67,-71,-71,-91,North,c13
-71,-83,-78,-100,-67,-70,-71,-92,North,c13
-71,-89,-80,-90,-64,-72,-71,-91,North,c13
-73,-82,-77,-92,-68,-69,-72,-93,North,c13
-73,-82,-77,-92,-69,-70,-72,-94,North,c13
-72,-81,-76,-100,-64,-69,-71,-90,North,c13
-72,-81,-77,-100,-68,-70,-71,-91,North,c13
-80,-77,-68,-89,-64,-81,-52,-86,North,c15
-78,-76,-67,-83,-63,-79,-52,-86,North,c15
-76,-77,-68,-84,-63,-82,-52,-84,North,c15
-81,-74,-68,-89,-61,-84,-53,-83,North,c15
-84,-75,-68,-85,-64,-80,-53,-88,North,c15
-80,-76,-68,-84,-67,-80,-53,-86,North,c15
-81,-75,-68,-86,-66,-78,-53,-87,North,c15
-79,-75,-69,-87,-66,-80,-53,-87,North,c15
-81,-76,-68,-85,-67,-80,-53,-86,North,c15
-83,-73,-67,-87,-67,-81,-53,-88,North,c15
-80,-74,-68,-86,-66,-81,-53,-86,North,c15
-80,-74,-68,-88,-63,-83,-52,-86,North,c15
-80,-75,-67,-89,-65,-81,-53,-86,North,c15
-79,-75,-66,-91,-67,-86,-53,-85,North,c15
-80,-74,-67,-87,-67,-87,-52,-86,North,c15
-81,-73,-64,-82,-100,-81,-52,-88,North,c15
-81,-73,-67,-83,-67,-81,-52,-87,North,c15
-80,-74,-67,-82,-67,-81,-52,-87,North,c15
-80,-74,-67,-91,-69,-81,-53,-87,North,c15
-81,-74,-67,-88,-67,-81,-53,-81,North,c15
-80,-74,-67,-91,-68,-81,-52,-87,North,c15
-80,-75,-67,-89,-64,-80,-53,-85,North,c15
-81,-74,-68,-89,-63,-81,-53,-86,North,c15
-81,-74,-68,-100,-65,-100,-53,-87,North,c15
-82,-75,-68,-87,-65,-82,-52,-87,North,c15
-81,-75,-69,-100,-65,-81,-54,-86,North,c15
-82,-75,-68,-89,-65,-80,-53,-86,North,c15
-82,-74,-68,-86,-65,-82,-53,-88,North,c15
-84,-73,-68,-87,-65,-82,-53,-84,North,c15
-82,-75,-68,-100,-66,-82,-53,-86,North,c15
-82,-74,-67,-90,-65,-86,-53,-88,North,c15
-82,-74,-69,-91,-66,-80,-53,-87,North,c15
-81,-75,-67,-86,-64,-78,-52,-87,North,c15
-82,-74,-68,-87,-66,-81,-53,-85,North,c15
-80,-74,-68,-100,-66,-80,-52,-87,North,c15
-81,-74,-68,-90,-65,-81,-53,-88,North,c15
-81,-74,-68,-87,-65,-80,-53,-86,North,c15
-80,-74,-69,-87,-63,-81,-51,-87,North,c15
-82,-75,-73,-86,-64,-82,-53,-82,North,c15
-87,-76,-66,-93,-62,-83,-53,-82,North,c15
-81,-76,-68,-100,-67,-82,-53,-83,North,c15
-79,-73,-65,-100,-60,-82,-52,-81,North,c15
-75,-75,-68,-90,-64,-100,-53,-84,North,c15
-75,-74,-67,-100,-62,-81,-52,-84,North,c15
-75,-74,-67,-88,-62,-80,-53,-84,North,c15
-77,-75,-67,-89,-61,-82,-52,-84,North,c15
-75,-74,-68,-86,-64,-80,-52,-83,North,c15
-73,-73,-66,-86,-61,-79,-52,-85,North,c15
-75,-73,-68,-88,-61,-82,-52,-83,North,c15
-78,-74,-68,-86,-63,-80,-52,-91,North,c15
-61,-74,-51,-90,-80,-90,-73,-87,North,c17
-60,-73,-52,-87,-80,-100,-75,-87,North,c17
-61,-74,-52,-85,-81,-88,-74,-85,North,c17
-62,-73,-51,-87,-83,-90,-75,-87,North,c17
-60,-74,-51,-93,-81,-86,-73,-87,North,c17
-62,-75,-51,-100,-82,-87,-73,-88,North,c17
-62,-76,-55,-100,-84,-90,-75,-90,North,c17
-61,-75,-51,-93,-100,-86,-73,-88,North,c17
-60,-74,-50,-89,-82,-88,-73,-88,North,c17
-62,-74,-52,-100,-82,-89,-73,-88,North,c17
-62,-76,-51,-100,-81,-89,-73,-89,North,c17
-61,-74,-52,-100,-83,-88,-73,-86,North,c17
-61,-74,-51,-100,-81,-100,-73,-86,North,c17
-61,-74,-51,-93,-80,-88,-73,-94,North,c17
-61,-74,-52,-100,-83,-89,-74,-87,North,c17
-61,-73,-51,-100,-81,-90,-73,-89,North,c17
-61,-74,-51,-90,-78,-89,-73,-89,North,c17
-60,-74,-52,-83,-83,-89,-72,-88,North,c17
-60,-73,-51,-86,-79,-89,-73,-91,North,c17
-61,-74,-50,-100,-100,-100,-72,-88,North,c17
-62,-74,-51,-92,-76,-87,-73,-89,North,c17
-60,-74,-52,-84,-76,-86,-72,-90,North,c17
-60,-74,-50,-87,-75,-90,-73,-87,North,c17
-59,-75,-50,-89,-77,-100,-70,-88,North,c17
-62,-75,-52,-87,-78,-91,-74,-89,North,c17
-62,-75,-53,-87,-78,-91,-74,-89,North,c17
-61,-76,-52,-87,-78,-88,-74,-89,North,c17
-63,-75,-53,-88,-79,-88,-74,-91,North,c17
-62,-75,-53,-89,-80,-100,-100,-87,North,c17
-62,-75,-53,-90,-82,-91,-74,-87,North,c17
-62,-75,-51,-86,-81,-91,-73,-87,North,c17
-61,-73,-50,-91,-81,-100,-74,-87,North,c17
-60,-75,-51,-90,-83,-92,-72,-89,North,c17
-60,-74,-52,-89,-75,-92,-73,-84,North,c17
-60,-74,-50,-100,-79,-100,-72,-87,North,c17
-60,-100,-50,-89,-77,-89,-72,-88,North,c17
-61,-74,-52,-100,-84,-91,-72,-88,North,c17
-60,-74,-50,-93,-82,-100,-74,-87,North,c17
-62,-74,-52,-86,-76,-95,-72,-88,North,c17
-61,-73,-52,-86,-79,-90,-72,-90,North,c17
-60,-73,-52,-87,-83,-90,-73,-87,North,c17
-60,-74,-51,-92,-83,-91,-70,-87,North,c17
-64,-74,-51,-100,-82,-91,-71,-87,North,c17
-60,-73,-51,-100,-84,-100,-72,-85,North,c17
-60,-73,-50,-100,-81,-87,-72,-86,North,c17
-61,-74,-52,-90,-82,-91,-73,-87,North,c17
-62,-74,-52,-88,-78,-100,-72,-88,North,c17
-60,-74,-52,-88,-78,-100,-72,-85,North,c17
-60,-74,-50,-87,-75,-91,-74,-88,North,c17
-60,-72,-50,-100,-80,-88,-70,-89,North,c17
